Category,count_incidents,Year
ARSON,289,2003
ASSAULT,12370,2003
BAD CHECKS,133,2003
BRIBERY,28,2003
BURGLARY,6024,2003
DISORDERLY CONDUCT,881,2003
DRIVING UNDER THE INFLUENCE,289,2003
DRUG/NARCOTIC,7832,2003
DRUNKENNESS,662,2003
EMBEZZLEMENT,239,2003
EXTORTION,43,2003
FAMILY OFFENSES,115,2003
FORGERY/COUNTERFEITING,2211,2003
FRAUD,3190,2003
GAMBLING,27,2003
KIDNAPPING,307,2003
LARCENY/THEFT,26266,2003
LIQUOR LAWS,272,2003
LOITERING,174,2003
MISSING PERSON,3271,2003
NON-CRIMINAL,13060,2003
OTHER OFFENSES,20028,2003
PORNOGRAPHY/OBSCENE MAT,3,2003
PROSTITUTION,1486,2003
ROBBERY,3173,2003
RUNAWAY,366,2003
SECONDARY CODES,1257,2003
"SEX OFFENSES, FORCIBLE",647,2003
"SEX OFFENSES, NON FORCIBLE",28,2003
STOLEN PROPERTY,800,2003
SUICIDE,93,2003
SUSPICIOUS OCC,4180,2003
TRESPASS,1434,2003
VANDALISM,6390,2003
VEHICLE THEFT,8790,2003
WARRANTS,8524,2003
WEAPON LAWS,1213,2003
ARSON,277,2004
ASSAULT,11909,2004
BAD CHECKS,79,2004
BRIBERY,39,2004
BURGLARY,6718,2004
DISORDERLY CONDUCT,812,2004
DRIVING UNDER THE INFLUENCE,243,2004
DRUG/NARCOTIC,7784,2004
DRUNKENNESS,600,2004
EMBEZZLEMENT,200,2004
EXTORTION,56,2004
FAMILY OFFENSES,109,2004
FORGERY/COUNTERFEITING,2200,2004
FRAUD,2667,2004
GAMBLING,25,2004
KIDNAPPING,267,2004
LARCENY/THEFT,24332,2004
LIQUOR LAWS,347,2004
LOITERING,235,2004
MISSING PERSON,3215,2004
NON-CRIMINAL,13674,2004
OTHER OFFENSES,19525,2004
PORNOGRAPHY/OBSCENE MAT,3,2004
PROSTITUTION,1295,2004
ROBBERY,3344,2004
RUNAWAY,431,2004
SECONDARY CODES,1330,2004
"SEX OFFENSES, FORCIBLE",658,2004
"SEX OFFENSES, NON FORCIBLE",31,2004
STOLEN PROPERTY,641,2004
SUICIDE,101,2004
SUSPICIOUS OCC,4471,2004
TRESPASS,1191,2004
VANDALISM,6432,2004
VEHICLE THEFT,10020,2004
WARRANTS,7606,2004
WEAPON LAWS,1198,2004
ARSON,231,2005
ASSAULT,10930,2005
BAD CHECKS,101,2005
BRIBERY,38,2005
BURGLARY,7045,2005
DISORDERLY CONDUCT,682,2005
