crimes,date
557,2003-01-01
366,2003-01-02
406,2003-01-03
322,2003-01-04
354,2003-01-05
377,2003-01-06
380,2003-01-07
489,2003-01-08
385,2003-01-09
376,2003-01-10
328,2003-01-11
290,2003-01-12
370,2003-01-13
378,2003-01-14
367,2003-01-15
376,2003-01-16
397,2003-01-17
324,2003-01-18
280,2003-01-19
375,2003-01-20
353,2003-01-21
429,2003-01-22
430,2003-01-23
425,2003-01-24
425,2003-01-25
314,2003-01-26
381,2003-01-27
408,2003-01-28
474,2003-01-29
384,2003-01-30
380,2003-01-31
392,2003-02-01
319,2003-02-02
389,2003-02-03
413,2003-02-04
377,2003-02-05
431,2003-02-06
474,2003-02-07
341,2003-02-08
329,2003-02-09
468,2003-02-10
397,2003-02-11
391,2003-02-12
410,2003-02-13
399,2003-02-14
324,2003-02-15
304,2003-02-16
347,2003-02-17
452,2003-02-18
431,2003-02-19
391,2003-02-20
380,2003-02-21
398,2003-02-22
333,2003-02-23
370,2003-02-24
404,2003-02-25
459,2003-02-26
416,2003-02-27
414,2003-02-28
425,2003-03-01
325,2003-03-02
356,2003-03-03
425,2003-03-04
386,2003-03-05
380,2003-03-06
444,2003-03-07
371,2003-03-08
330,2003-03-09
377,2003-03-10
423,2003-03-11
472,2003-03-12
386,2003-03-13
454,2003-03-14
375,2003-03-15
335,2003-03-16
369,2003-03-17
391,2003-03-18
319,2003-03-19
417,2003-03-20
363,2003-03-21
343,2003-03-22
283,2003-03-23
349,2003-03-24
368,2003-03-25
406,2003-03-26
434,2003-03-27
407,2003-03-28
383,2003-03-29
368,2003-03-30
342,2003-03-31
481,2003-04-01
404,2003-04-02
404,2003-04-03
444,2003-04-04
370,2003-04-05
314,2003-04-06
312,2003-04-07
418,2003-04-08
442,2003-04-09
441,2003-04-10
478,2003-04-11
323,2003-04-12
359,2003-04-13
421,2003-04-14
421,2003-04-15
343,2003-04-16
372,2003-04-17
403,2003-04-18
326,2003-04-19
324,2003-04-20
345,2003-04-21
388,2003-04-22
469,2003-04-23
375,2003-04-24
404,2003-04-25
415,2003-04-26
289,2003-04-27
348,2003-04-28
389,2003-04-29
389,2003-04-30
447,2003-05-01
410,2003-05-02
303,2003-05-03
308,2003-05-04
355,2003-05-05
409,2003-05-06
372,2003-05-07
420,2003-05-08
399,2003-05-09
324,2003-05-10
303,2003-05-11
398,2003-05-12
429,2003-05-13
417,2003-05-14
421,2003-05-15
405,2003-05-16
300,2003-05-17
337,2003-05-18
351,2003-05-19
378,2003-05-20
368,2003-05-21
397,2003-05-22
369,2003-05-23
355,2003-05-24
287,2003-05-25
316,2003-05-26
408,2003-05-27
331,2003-05-28
407,2003-05-29
368,2003-05-30
346,2003-05-31
395,2003-06-01
410,2003-06-02
374,2003-06-03
404,2003-06-04
384,2003-06-05
383,2003-06-06
304,2003-06-07
336,2003-06-08
374,2003-06-09
414,2003-06-10
365,2003-06-11
396,2003-06-12
405,2003-06-13
312,2003-06-14
292,2003-06-15
337,2003-06-16
347,2003-06-17
363,2003-06-18
366,2003-06-19
413,2003-06-20
349,2003-06-21
268,2003-06-22
369,2003-06-23
372,2003-06-24
393,2003-06-25
415,2003-06-26
350,2003-06-27
341,2003-06-28
310,2003-06-29
321,2003-06-30
461,2003-07-01
363,2003-07-02
428,2003-07-03
337,2003-07-04
313,2003-07-05
317,2003-07-06
362,2003-07-07
391,2003-07-08
365,2003-07-09
358,2003-07-10
410,2003-07-11
313,2003-07-12
325,2003-07-13
319,2003-07-14
409,2003-07-15
433,2003-07-16
396,2003-07-17
393,2003-07-18
451,2003-07-19
329,2003-07-20
384,2003-07-21
354,2003-07-22
384,2003-07-23
358,2003-07-24
385,2003-07-25
330,2003-07-26
306,2003-07-27
347,2003-07-28
347,2003-07-29
295,2003-07-30
304,2003-07-31
433,2003-08-01
338,2003-08-02
330,2003-08-03
338,2003-08-04
360,2003-08-05
384,2003-08-06
412,2003-08-07
357,2003-08-08
358,2003-08-09
329,2003-08-10
386,2003-08-11
392,2003-08-12
414,2003-08-13
407,2003-08-14
440,2003-08-15
352,2003-08-16
290,2003-08-17
346,2003-08-18
389,2003-08-19
408,2003-08-20
427,2003-08-21
437,2003-08-22
358,2003-08-23
338,2003-08-24
359,2003-08-25
387,2003-08-26
413,2003-08-27
430,2003-08-28
349,2003-08-29
393,2003-08-30
347,2003-08-31
383,2003-09-01
358,2003-09-02
357,2003-09-03
339,2003-09-04
421,2003-09-05
378,2003-09-06
350,2003-09-07
353,2003-09-08
405,2003-09-09
418,2003-09-10
461,2003-09-11
424,2003-09-12
380,2003-09-13
334,2003-09-14
386,2003-09-15
426,2003-09-16
382,2003-09-17
440,2003-09-18
402,2003-09-19
381,2003-09-20
351,2003-09-21
406,2003-09-22
464,2003-09-23
447,2003-09-24
366,2003-09-25
449,2003-09-26
379,2003-09-27
318,2003-09-28
382,2003-09-29
388,2003-09-30
476,2003-10-01
412,2003-10-02
416,2003-10-03
322,2003-10-04
333,2003-10-05
366,2003-10-06
437,2003-10-07
414,2003-10-08
358,2003-10-09
352,2003-10-10
356,2003-10-11
334,2003-10-12
378,2003-10-13
400,2003-10-14
402,2003-10-15
446,2003-10-16
409,2003-10-17
339,2003-10-18
330,2003-10-19
394,2003-10-20
441,2003-10-21
433,2003-10-22
378,2003-10-23
406,2003-10-24
308,2003-10-25
304,2003-10-26
336,2003-10-27
434,2003-10-28
370,2003-10-29
421,2003-10-30
432,2003-10-31
458,2003-11-01
312,2003-11-02
400,2003-11-03
368,2003-11-04
353,2003-11-05
339,2003-11-06
372,2003-11-07
327,2003-11-08
334,2003-11-09
377,2003-11-10
345,2003-11-11
382,2003-11-12
402,2003-11-13
410,2003-11-14
368,2003-11-15
282,2003-11-16
391,2003-11-17
394,2003-11-18
397,2003-11-19
375,2003-11-20
395,2003-11-21
375,2003-11-22
312,2003-11-23
315,2003-11-24
351,2003-11-25
423,2003-11-26
290,2003-11-27
335,2003-11-28
331,2003-11-29
259,2003-11-30
388,2003-12-01
365,2003-12-02
351,2003-12-03
365,2003-12-04
384,2003-12-05
314,2003-12-06
256,2003-12-07
346,2003-12-08
327,2003-12-09
328,2003-12-10
368,2003-12-11
354,2003-12-12
292,2003-12-13
288,2003-12-14
364,2003-12-15
406,2003-12-16
334,2003-12-17
354,2003-12-18
331,2003-12-19
332,2003-12-20
338,2003-12-21
362,2003-12-22
315,2003-12-23
254,2003-12-24
211,2003-12-25
258,2003-12-26
284,2003-12-27
275,2003-12-28
287,2003-12-29
338,2003-12-30
283,2003-12-31
397,2004-01-01
313,2004-01-02
327,2004-01-03
315,2004-01-04
394,2004-01-05
357,2004-01-06
395,2004-01-07
385,2004-01-08
373,2004-01-09
372,2004-01-10
301,2004-01-11
391,2004-01-12
424,2004-01-13
420,2004-01-14
416,2004-01-15
426,2004-01-16
368,2004-01-17
330,2004-01-18
388,2004-01-19
378,2004-01-20
436,2004-01-21
398,2004-01-22
458,2004-01-23
425,2004-01-24
380,2004-01-25
370,2004-01-26
392,2004-01-27
422,2004-01-28
427,2004-01-29
434,2004-01-30
368,2004-01-31
338,2004-02-01
335,2004-02-02
432,2004-02-03
380,2004-02-04
371,2004-02-05
448,2004-02-06
370,2004-02-07
297,2004-02-08
394,2004-02-09
393,2004-02-10
406,2004-02-11
438,2004-02-12
397,2004-02-13
352,2004-02-14
378,2004-02-15
296,2004-02-16
366,2004-02-17
375,2004-02-18
402,2004-02-19
413,2004-02-20
331,2004-02-21
323,2004-02-22
464,2004-02-23
387,2004-02-24
345,2004-02-25
356,2004-02-26
418,2004-02-27
361,2004-02-28
362,2004-02-29
409,2004-03-01
445,2004-03-02
438,2004-03-03
415,2004-03-04
450,2004-03-05
364,2004-03-06
316,2004-03-07
