date_local,avg_aqi_pm25
2/5/1999,46
2/12/1999,70
2/17/1999,41
2/23/1999,54
2/26/1999,39
3/1/1999,59
3/4/1999,47
3/7/1999,31.5
3/10/1999,32
3/13/1999,47.5
3/19/1999,48
3/22/1999,28
3/25/1999,39.5
3/28/1999,30
3/31/1999,24
4/6/1999,12
4/12/1999,48.5
4/18/1999,48
4/24/1999,56
4/30/1999,58
5/6/1999,38
5/12/1999,32
5/18/1999,17
5/24/1999,16.5
5/30/1999,39.5
6/5/1999,21.5
6/11/1999,29.5
6/17/1999,28.5
6/23/1999,19.5
6/29/1999,60
7/5/1999,52
7/11/1999,68
7/17/1999,34
7/23/1999,25
7/29/1999,18.5
8/4/1999,22.5
8/10/1999,20
8/16/1999,30
8/22/1999,58
8/28/1999,38.5
9/3/1999,45.5
9/9/1999,34.5
9/15/1999,43.5
9/21/1999,63
9/27/1999,87
10/1/1999,73
10/2/1999,65
10/3/1999,62.5
10/4/1999,51
10/5/1999,37
10/6/1999,33
10/7/1999,52
10/8/1999,58
10/9/1999,63.5
10/10/1999,68
10/11/1999,70
10/12/1999,69
10/13/1999,66
10/14/1999,57
10/15/1999,75.5
10/16/1999,97
10/17/1999,102
10/18/1999,96
10/19/1999,132
10/20/1999,143
10/21/1999,133.5
10/22/1999,113
10/24/1999,45
10/25/1999,45
10/27/1999,25
10/30/1999,63
10/31/1999,65
11/1/1999,69
11/2/1999,62
11/3/1999,59
11/4/1999,77
11/5/1999,82
11/6/1999,69
11/7/1999,19
11/8/1999,37
11/9/1999,44
11/10/1999,32
11/11/1999,51
11/12/1999,89
11/13/1999,103
11/14/1999,64
11/16/1999,29
11/17/1999,32
11/18/1999,52
11/19/1999,23
11/20/1999,31.5
11/21/1999,18
11/22/1999,35
11/23/1999,62
11/25/1999,58
11/26/1999,26.5
11/27/1999,53
11/28/1999,127
11/29/1999,75
11/30/1999,20
12/1/1999,28
12/2/1999,30.5
12/3/1999,25
12/4/1999,60
12/5/1999,101
12/6/1999,55
12/7/1999,30
12/8/1999,52
12/9/1999,25
12/10/1999,25
12/11/1999,57
12/12/1999,88
12/13/1999,24
12/14/1999,61
12/15/1999,79
12/16/1999,78
12/18/1999,69
12/19/1999,60
12/20/1999,74
12/21/1999,73
12/22/1999,55
12/23/1999,96
12/24/1999,130
12/25/1999,150
12/26/1999,156
12/27/1999,159
12/28/1999,125
12/29/1999,110
12/30/1999,116
12/31/1999,64
1/1/2000,51
1/2/2000,20
1/3/2000,53
1/4/2000,68
1/5/2000,50
1/6/2000,69
1/7/2000,111
1/8/2000,40
1/9/2000,41
1/10/2000,18
1/11/2000,16
1/12/2000,56
1/13/2000,49
1/14/2000,59
1/15/2000,52
1/16/2000,28
1/18/2000,49
1/19/2000,43
1/20/2000,33
1/21/2000,40
1/22/2000,58
1/23/2000,28
1/24/2000,20
1/25/2000,22
1/26/2000,36
1/27/2000,58
1/28/2000,63
1/29/2000,82
1/30/2000,25
1/31/2000,36
2/1/2000,51
2/3/2000,62
2/4/2000,31
2/5/2000,33
2/7/2000,72
2/8/2000,69
2/9/2000,39
2/10/2000,25
2/11/2000,29
2/12/2000,19
2/13/2000,11
2/14/2000,36
2/15/2000,58
2/16/2000,44
2/17/2000,51
2/18/2000,49
2/19/2000,52
2/20/2000,30
2/21/2000,23
2/22/2000,20
2/23/2000,29
2/24/2000,28
2/25/2000,32
2/26/2000,20
2/27/2000,25
3/1/2000,48
3/2/2000,30
3/3/2000,40
3/4/2000,30
3/5/2000,28
3/6/2000,40
3/7/2000,28
3/8/2000,26
3/9/2000,35
3/10/2000,61
3/11/2000,43
3/12/2000,55
3/13/2000,42
3/16/2000,44
3/17/2000,56
3/18/2000,63
3/19/2000,35
3/20/2000,16
3/21/2000,24
3/22/2000,52
3/23/2000,35
3/24/2000,43
3/25/2000,39
3/26/2000,34
3/27/2000,24
3/28/2000,33
3/29/2000,55
3/30/2000,60
3/31/2000,32
4/6/2000,38
4/12/2000,34
5/18/2000,56
5/24/2000,47
5/30/2000,51
6/5/2000,26
6/11/2000,30
6/17/2000,25
6/23/2000,53
6/29/2000,37
7/5/2000,14
7/11/2000,33
7/17/2000,36
7/23/2000,27
7/29/2000,21
8/4/2000,38
8/10/2000,17
8/16/2000,63
8/22/2000,34
8/28/2000,38
9/3/2000,23
9/9/2000,48
9/15/2000,28
9/21/2000,21
9/27/2000,34
10/1/2000,41
10/2/2000,40
10/3/2000,53
10/5/2000,59
10/6/2000,52
10/7/2000,43
10/8/2000,32
10/9/2000,20
10/10/2000,27
10/11/2000,40
10/12/2000,46
10/13/2000,41
10/14/2000,30
10/15/2000,31
10/16/2000,25
10/20/2000,24
10/21/2000,23
10/22/2000,15
10/23/2000,40
10/24/2000,54
10/26/2000,20
10/27/2000,31
10/28/2000,21
10/29/2000,23
10/31/2000,55
11/1/2000,58
11/2/2000,69
11/3/2000,54
11/4/2000,53
11/5/2000,27
11/6/2000,35
11/7/2000,43
11/8/2000,43
11/9/2000,21
11/10/2000,22
11/11/2000,58
11/12/2000,57
11/13/2000,38
11/14/2000,66
11/15/2000,52
11/16/2000,52
11/17/2000,64
11/18/2000,93
11/19/2000,104
11/20/2000,96
11/21/2000,87
11/23/2000,82
11/24/2000,85
11/25/2000,108
11/26/2000,93
11/28/2000,89
11/29/2000,48
11/30/2000,73
12/1/2000,72
12/2/2000,66
12/3/2000,132
12/4/2000,100
12/5/2000,97
12/6/2000,89
12/7/2000,93
12/8/2000,88
12/9/2000,67
12/10/2000,35
12/11/2000,53
12/12/2000,34
12/13/2000,37
12/14/2000,34
12/16/2000,54
12/17/2000,56
12/18/2000,59
12/19/2000,100
12/22/2000,57
12/23/2000,75
12/24/2000,60
12/25/2000,66
12/26/2000,90
12/27/2000,117
12/28/2000,72
12/29/2000,125
12/30/2000,97
12/31/2000,91
1/1/2001,153
1/2/2001,140
1/3/2001,140
1/4/2001,107
1/5/2001,124
1/6/2001,147
1/7/2001,150
1/8/2001,34
1/9/2001,39
1/10/2001,25
1/11/2001,19
1/12/2001,27
1/13/2001,24
1/14/2001,31
1/15/2001,15
1/16/2001,20
1/17/2001,32
1/18/2001,79
1/19/2001,111
1/20/2001,158
1/21/2001,162
1/22/2001,111
1/23/2001,41
1/24/2001,22
1/25/2001,38
1/26/2001,33
