state_code,county_code,site_num,parameter_code,poc,latitude,longitude,datum,parameter_name,sample_duration,pollutant_standard,metric_used,method_name,year,units_of_measure,event_type,observation_count,observation_percent,completeness_indicator,valid_day_count,required_day_count,exceptional_data_count,null_data_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,num_obs_below_mdl,arithmetic_mean,arithmetic_standard_dev,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_non_overlapping_value,first_no_max_datetime,second_max_non_overlapping_value,second_no_max_datetime,ninety_nine_percentile,ninety_eight_percentile,ninety_five_percentile,ninety_percentile,seventy_five_percentile,fifty_percentile,ten_percentile,local_site_name,address,state_name,county_name,city_name,cbsa_name,date_of_last_change
06,075,0005,12134,7,37.765946,-122.399044,WGS84,Molybdenum (TSP) STP,24 HOUR,,Observed Values,LO-VOL-XONTECH 920 or 924- TEFLON - X-RAY FLUORESCENCE,2003,Micrograms/cubic meter (25 C),No Events,6,60.0,N,6,10,0,1,,,Certification not required,0,0.011333,0.008091,0.022,2003-02-20 00:00:00 UTC,0.019,2003-02-14 00:00:00 UTC,0.014,2003-02-08 00:00:00 UTC,0.005,2003-01-09 00:00:00 UTC,,,,,0.022,0.022,0.022,0.022,0.019,0.014,0.004,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2010-03-06
06,075,0005,13115,7,37.765946,-122.399044,WGS84,Chlorine (TSP),24 HOUR,,Observed Values,LO-VOL-XONTECH 920 or 924- TEFLON - X-RAY FLUORESCENCE,1991,Micrograms/cubic meter (25 C),No Events,25,42.0,N,25,60,0,0,,,Certification not required,0,3.1376,2.757749,12.0,1991-06-12 00:00:00 UTC,8.5,1991-08-10 00:00:00 UTC,7.7,1991-05-30 00:00:00 UTC,5.3,1991-04-12 00:00:00 UTC,,,,,12.0,12.0,8.5,7.7,3.4,2.1,0.96,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2010-04-25
06,075,0005,43802,3,37.765946,-122.399044,WGS84,Dichloromethane,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2014,Parts per billion Carbon,No Events,30,100.0,Y,30,30,0,0,,,Requested but not yet concurred,0,0.21043299999999998,0.056305,0.31,2014-11-19 00:00:00 UTC,0.308,2014-12-13 00:00:00 UTC,0.306,2014-04-29 00:00:00 UTC,0.29400000000000004,2014-11-07 00:00:00 UTC,,,,,0.31,0.31,0.308,0.306,0.23700000000000002,0.21200000000000002,0.14600000000000002,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2015-02-27
06,075,0005,12169,7,37.765946,-122.399044,WGS84,Sulfur (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2007,Micrograms/cubic meter (25 C),No Events,22,37.0,N,22,60,0,10,,,Certification not required,0,0.689091,0.30960699999999997,1.3,2007-08-22 00:00:00 UTC,1.2,2007-08-10 00:00:00 UTC,1.2,2007-09-15 00:00:00 UTC,1.1,2007-11-02 00:00:00 UTC,,,,,1.3,1.3,1.2,1.2,0.82000000000000006,0.69000000000000006,0.34,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2011-03-19
06,075,0005,12128,7,37.765946,-122.399044,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2017,Micrograms/cubic meter (25 C),Events Inclucded,27,44.0,N,27,61,27,10,,,Certification not required,0,0.007644,0.013583,0.0703,2017-10-10 00:00:00 UTC,0.0239,2017-07-06 00:00:00 UTC,0.0135,2017-03-08 00:00:00 UTC,0.011300000000000001,2017-09-28 00:00:00 UTC,,,,,0.0703,0.0703,0.0239,0.0135,0.009300000000000001,0.0039000000000000003,0.00060000000000000006,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2018-02-12
06,075,0005,43505,5,37.765946,-122.399044,WGS84,Acrolein - Unverified,24 HOUR,,Observed Values,6L Pressurized Canister - Precon HP GC/MS,2003,Parts per billion Carbon,No Events,15,48.0,N,15,31,0,1,,,Certification not required,0,1.684,1.28635,5.4,2003-07-14 00:00:00 UTC,2.52,2003-07-26 00:00:00 UTC,2.49,2003-07-02 00:00:00 UTC,2.46,2003-08-19 00:00:00 UTC,,,,,5.4,5.4,5.4,2.52,2.46,1.38,0.45,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2012-09-27
06,075,0005,44201,1,37.765946,-122.399044,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1987,Parts per million,No Events,6040,96.0,Y,351,365,0,0,0,0,Certification not required,0,0.026202,0.009721,0.07,1987-04-21 12:00:00 UTC,0.056,1987-06-02 09:00:00 UTC,0.053,1987-05-05 10:00:00 UTC,0.053,1987-05-15 23:00:00 UTC,,,,,0.053,0.047,0.043,0.04,0.032,0.025,0.015,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-08-15
06,075,0005,45202,5,37.765946,-122.399044,WGS84,Toluene,24 HOUR,,Observed Values,6L PRESSURIZED CANISTER - CAPILLARY GC-ECD/PID,1998,Parts per billion Carbon,No Events,27,44.0,N,27,61,0,4,,,Certification not required,0,11.77037,8.496009,38.5,1998-11-25 00:00:00 UTC,33.6,1998-11-13 00:00:00 UTC,20.3,1998-12-31 00:00:00 UTC,18.9,1998-12-07 00:00:00 UTC,,,,,38.5,38.5,33.6,20.3,13.3,11.2,3.5,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2010-03-04
06,075,0005,45109,3,37.765946,-122.399044,WGS84,m/p Xylene,24 HOUR,,Observed Values,Pressurized Canister - GC with Multiple Detectors,2007,Parts per billion Carbon,No Events,30,100.0,Y,28,30,0,0,,,Certification not required,0,4.7466669999999995,4.776648,20.8,2007-11-02 00:00:00 UTC,16.0,2007-01-18 00:00:00 UTC,11.200000000000001,2007-11-14 00:00:00 UTC,10.4,2007-01-30 00:00:00 UTC,,,,,20.8,20.8,16.0,11.200000000000001,4.0,3.2,1.6,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2012-08-22
06,075,0005,12105,5,37.765946,-122.399044,WGS84,Beryllium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1987,Nanograms/cubic meter (25 C),No Events,60,98.0,Y,59,61,0,0,,,Certification not required,0,0.0,0.0,0.0,1987-01-03 00:00:00 UTC,0.0,1987-01-09 00:00:00 UTC,0.0,1987-01-15 00:00:00 UTC,0.0,1987-01-21 00:00:00 UTC,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2012-09-20
